Shop,AFFECTED_COMPONENT,FAILURE_NAME,CURRENT_UTILITY,OPTIMAL_UTILITY,CRITICALITY,CONNECTIVITY,RELIABILITY,IMPORTANCE,PROVIDED_INTERFACE,REQUIRED_INTERFACE,ADT, PMax,alpha,In Use REPLICA,LOAD,COSTS,RULE,Column1,Column2
mRUBiS #1,Buy Now Item Filter,CF3,0,11059.41254,13,5,0.5,22,4,1,1.009460361,12.80042434,79.38079925,57,4586,1.72,HwRedeployComponent,,
mRUBiS #1,Seller Reputation Item Filter,CF1,0,30407.09807,30,6,0.5,22,5,1,1.488639397,11.29502493,99.09821681,0,0,1.53,LwRedeployComponent,,
mRUBiS #1,User Management Service,CF2,0,18789.76288,30,4,0.5,22,0,4,1.460128436,12.90307103,167.7922013,0,0,1.69,HwRedeployComponent,,
mRUBiS #1,Reputation Service,CF2,-1.82E-12,13779.40063,23,4,0.5,22,0,4,1.296816708,12.90191946,123.4888734,0,0,1.69,HwRedeployComponent,,
mRUBiS #1,Persistence Service,CF3,0,103424.108,21,33,0.5,22,33,0,1.329730953,16.94782753,97.04633435,52,4586,2.56,HwRedeployComponent,,
mRUBiS #1,User Management Service,CF1,0,18789.76288,30,4,0.5,22,0,4,1.460128436,12.90307103,167.7922013,0,0,0.35,RestartComponent,,
mRUBiS #1,Inventory Service,CF3,0,34197.19428,11,9,0.5,22,7,2,1.203441787,13.46289992,85.65241198,0,0,1.84,HwRedeployComponent,,
mRUBiS #1,Past Sales Item Filter,CF3,3.64E-12,22772.11461,16,6,0.5,22,5,1,1.267239584,16.46641841,88.50170648,0,0,1.75,HwRedeployComponent,,
mRUBiS #1,Last Second Sales Item Filter,CF2,9.09E-13,6992.028342,12,7,0.5,22,6,1,1.16044159,5.88617676,77.14137944,0,0,1.78,HwRedeployComponent,,
mRUBiS #1,Reputation Service,CF5,0,13650.8809,23,4,0.5,22,0,4,1.296816708,12.90191946,123.4888734,0,4586,0.5,AddReplica,,
mRUBiS #1,Category Item Filter,CF2,3.64E-12,21847.0368,20,7,0.5,22,6,1,1.006633364,9.717121663,137.9606875,0,0,1.78,HwRedeployComponent,,
mRUBiS #1,Seller Reputation Item Filter,CF3,0,30407.09807,30,6,0.5,22,5,1,1.488639397,11.29502493,99.09821681,0,0,1.75,HwRedeployComponent,,
