Shop,AFFECTED_COMPONENT,FAILURE_NAME,CURRENT_UTILITY,OPTIMAL_UTILITY,CRITICALITY,COSTS,CONNECTIVITY,RELIABILITY,IMPORTANCE,PROVIDED_INTERFACE,REQUIRED_INTERFACE,ADT,RULE, PMax,alpha,In Use REPLICA,LOAD
mRUBiS #1,Persistence Service,CF5,0.0,90886.24071054929,21.0,0.5,29,0.5,22.0,29,0,1.3297309527465526,AddReplica,16.94782753047918,97.04633434801788,0.0,4586.0,

mRUBiS #1,Query Service,CF5,0.0,158476.43269824624,27.0,0.5,57,0.5,22.0,56,1,1.1016192018337365,AddReplica,6.1646314621001395,85.67035108530558,0.0,4586.0,

mRUBiS #1,Google Authentication Service,CF3,-5.820766091346741E-11,301179.85632679,22.0,2.29,24,0.9,22.0,23,1,1.2112512772664892,HwRedeployComponent,11.913207967664766,105.9324130771619,0.0,0.0,

mRUBiS #1,Bid and Buy Service,CF5,0.0,10622.534756844156,27.0,0.5,5,0.5,22.0,0,5,1.3561341802413516,AddReplica,8.06065708747934,73.95946339621557,0.0,4586.0,

mRUBiS #1,Recommendation Item Filter,CF3,0.0,9861.366016917169,30.0,1.69,4,0.5,22.0,3,1,1.1976517633224057,HwRedeployComponent,5.804851082669145,144.24966512464175,41.0,4586.0,

mRUBiS #1,Category Item Filter,CF1,3.637978807091713E-12,21847.036795763666,20.0,1.53,7,0.5,22.0,6,1,1.0066333636273284,LwRedeployComponent,9.717121663045125,137.96068754082563,0.0,0.0,

mRUBiS #1,Availability Item Filter,CF1,3.637978807091713E-12,18121.004173440437,23.0,1.7799999999999998,7,0.5,22.0,6,1,1.1102981576479085,HwRedeployComponent,5.972367310611631,77.34298858308269,0.0,0.0,

mRUBiS #1,User Management Service,CF3,0.0,18789.762875965655,30.0,1.6899999999999997,4,0.5,22.0,0,4,1.4601284359665698,HwRedeployComponent,12.903071031381682,167.7922012582917,38.0,4586.0,

mRUBiS #1,Seller Reputation Item Filter,CF3,0.0,30407.09806550544,30.0,1.7499999999999998,6,0.5,22.0,5,1,1.4886393972299505,HwRedeployComponent,11.295024934466905,99.0982168102818,0.0,0.0,

mRUBiS #1,User Management Service,CF3,0.0,18789.762875965655,30.0,1.6899999999999997,4,0.5,22.0,0,4,1.4601284359665698,HwRedeployComponent,12.903071031381682,167.7922012582917,0.0,0.0,

mRUBiS #1,Buy Now Item Filter,CF3,0.0,11059.41254241642,13.0,1.7199999999999998,5,0.5,22.0,4,1,1.0094603613799904,HwRedeployComponent,12.80042434199084,79.38079925152111,57.0,4586.0,

mRUBiS #1,Seller Reputation Item Filter,CF1,0.0,30407.09806550544,30.0,1.53,6,0.5,22.0,5,1,1.4886393972299505,LwRedeployComponent,11.295024934466905,99.0982168102818,0.0,0.0,

mRUBiS #1,User Management Service,CF2,0.0,18789.762875965655,30.0,1.6899999999999997,4,0.5,22.0,0,4,1.4601284359665698,HwRedeployComponent,12.903071031381682,167.7922012582917,0.0,0.0,

